timestamp,province,data_usage_gb
2024-01-01,Bujumbura,224.12893203673102
2024-01-01,Gitega,189.65312776777043
2024-01-01,Ngozi,128.3295367129536
2024-01-01,Kayanza,152.67620895788366
2024-01-01,Bururi,137.92819263959825
2024-01-01,Cibitoke,201.11423677873512
2024-01-02,Bujumbura,204.97542887852583
2024-01-02,Gitega,206.9007634659445
2024-01-02,Ngozi,234.19279181410215
2024-01-02,Kayanza,227.91911115915534
2024-01-02,Bururi,169.96687645553723
2024-01-02,Cibitoke,190.4227372877214
2024-01-03,Bujumbura,173.89829628236765
2024-01-03,Gitega,137.74079879593202
2024-01-03,Ngozi,91.56214461803259
2024-01-03,Kayanza,213.81849078666005
2024-01-03,Bururi,198.62830243061367
2024-01-03,Cibitoke,178.971260511866
2024-01-04,Bujumbura,207.88693229100593
2024-01-04,Gitega,199.80718611688152
2024-01-04,Ngozi,92.71684330563028
2024-01-04,Kayanza,156.95609203918846
2024-01-04,Bururi,140.4196921878721
2024-01-04,Cibitoke,127.08584528884494
2024-01-05,Bujumbura,163.84875701416598
2024-01-05,Gitega,178.22434421118322
2024-01-05,Ngozi,245.52261713194181
2024-01-05,Kayanza,240.47801218766466
2024-01-05,Bururi,228.46786377979333
2024-01-05,Cibitoke,192.0985160761865
2024-01-06,Bujumbura,149.340642519971
2024-01-06,Gitega,191.57978923864388
2024-01-06,Ngozi,321.7003550575932
2024-01-06,Kayanza,251.6038504314779
2024-01-06,Bururi,229.67386900769714
2024-01-06,Cibitoke,136.9996827387618
2024-01-07,Bujumbura,209.05690725074768
2024-01-07,Gitega,216.28106069458673
2024-01-07,Ngozi,128.86817253576714
2024-01-07,Kayanza,251.43181871130702
2024-01-07,Bururi,250.5190576948343
2024-01-07,Cibitoke,268.1252414337819
2024-01-08,Bujumbura,226.21273552972943
2024-01-08,Gitega,197.82148168269322
2024-01-08,Ngozi,295.34525410397805
2024-01-08,Kayanza,256.91407230649986
2024-01-08,Bururi,201.06565692097251
2024-01-08,Cibitoke,198.3183619480821
2024-01-09,Bujumbura,161.0915562520443
2024-01-09,Gitega,138.69559323143366
2024-01-09,Ngozi,238.14193575326718
2024-01-09,Kayanza,179.2613664336624
2024-01-09,Bururi,280.17439656470754
2024-01-09,Cibitoke,180.6807757724851
2024-01-10,Bujumbura,213.33273700475624
2024-01-10,Gitega,182.5745514748844
2024-01-10,Ngozi,200.46992662648472
2024-01-10,Kayanza,264.29573659350183
2024-01-10,Bururi,152.2386107782238
2024-01-10,Cibitoke,167.92499569432619
2024-01-11,Bujumbura,171.4651666036694
