timestamp,province,consumption_kwh
2024-01-01,Bujumbura,362.1516869602315
2024-01-01,Gitega,467.6909236012405
2024-01-01,Ngozi,541.9820357037503
2024-01-01,Kayanza,266.3900944680462
2024-01-01,Bururi,545.6755373101716
2024-01-01,Cibitoke,395.47287010856195
2024-01-02,Bujumbura,550.3495405588048
2024-01-02,Gitega,616.4823468863614
2024-01-02,Ngozi,469.1148645215484
2024-01-02,Kayanza,419.5323219046135
2024-01-02,Bururi,591.1712997699732
2024-01-02,Cibitoke,555.3939777213626
2024-01-03,Bujumbura,694.290572561168
2024-01-03,Gitega,472.002584595327
2024-01-03,Ngozi,505.3908369692747
2024-01-03,Kayanza,678.122342147447
2024-01-03,Bururi,665.3592948107632
2024-01-03,Cibitoke,520.268409107038
2024-01-04,Bujumbura,474.30895950714057
2024-01-04,Gitega,568.8545953902751
2024-01-04,Ngozi,617.4141475602144
2024-01-04,Kayanza,536.2546990283751
2024-01-04,Bururi,468.344796415297
2024-01-04,Cibitoke,367.99569458331166
2024-01-05,Bujumbura,632.715110391108
2024-01-05,Gitega,347.3396965428072
2024-01-05,Ngozi,581.4937375861033
2024-01-05,Kayanza,546.0278175101178
2024-01-05,Bururi,486.7829768910292
2024-01-05,Cibitoke,592.0308572105826
2024-01-06,Bujumbura,288.3640364456111
2024-01-06,Gitega,499.8120425680263
2024-01-06,Ngozi,489.98588534362636
2024-01-06,Kayanza,454.6216020968095
2024-01-06,Bururi,396.0806982405862
2024-01-06,Cibitoke,404.82693417919245
2024-01-07,Bujumbura,463.8607447164199
2024-01-07,Gitega,545.9890047308835
2024-01-07,Ngozi,400.94420415323333
2024-01-07,Kayanza,445.48231921515736
2024-01-07,Bururi,572.4437816247233
2024-01-07,Cibitoke,380.9803680051319
2024-01-08,Bujumbura,405.6689587125387
2024-01-08,Gitega,548.0068200445672
2024-01-08,Ngozi,456.29899834733453
2024-01-08,Kayanza,586.7678292275365
2024-01-08,Bururi,435.04049187042676
2024-01-08,Cibitoke,327.0443311128811
2024-01-09,Bujumbura,423.6544521420709
2024-01-09,Gitega,633.6964987257988
2024-01-09,Ngozi,462.5581680313445
2024-01-09,Kayanza,345.8718024383165
2024-01-09,Bururi,457.5366707296932
2024-01-09,Cibitoke,550.7975632887766
2024-01-10,Bujumbura,541.0567338829918
2024-01-10,Gitega,460.6125247717889
2024-01-10,Ngozi,304.5258875750419
2024-01-10,Kayanza,339.8858690393603
2024-01-10,Bururi,487.90420242659974
2024-01-10,Cibitoke,449.3764361615897
2024-01-11,Bujumbura,482.95377672289726
2024-01-11,Gitega,588.2927618005035
2024-01-11,Ngozi,660.2645963388429
2024-01-11,Kayanza,493.05495122378977
2024-01-11,Bururi,387.2996105403332
2024-01-11,Cibitoke,453.68878251285633
2024-01-12,Bujumbura,504.1135097792779
2024-01-12,Gitega,399.2842552040797
2024-01-12,Ngozi,421.19367068388124
2024-01-12,Kayanza,456.56172866111166
2024-01-12,Bururi,559.4391540289321
2024-01-12,Cibitoke,437.3139941112168
2024-01-13,Bujumbura,530.2462901890672
2024-01-13,Gitega,445.22906297847754
2024-01-13,Ngozi,594.8208385195488
2024-01-13,Kayanza,429.6913933566625
2024-01-13,Bururi,345.4605182259978
2024-01-13,Cibitoke,594.3678660893426
2024-01-14,Bujumbura,541.1299321288889
2024-01-14,Gitega,512.8079656451189
2024-01-14,Ngozi,573.1031383095464
2024-01-14,Kayanza,630.0685882645222
2024-01-14,Bururi,539.0293733599715
2024-01-14,Cibitoke,687.1841698342089
2024-01-15,Bujumbura,396.4111692824769
2024-01-15,Gitega,560.8989181163074
2024-01-15,Ngozi,644.947901848094
2024-01-15,Kayanza,517.0087748011209
2024-01-15,Bururi,487.4158280434829
2024-01-15,Cibitoke,514.560105990994
2024-01-16,Bujumbura,546.3951690267155
2024-01-16,Gitega,447.3623622875917
2024-01-16,Ngozi,550.813288896368
2024-01-16,Kayanza,388.4981157268047
2024-01-16,Bururi,707.3687890715091
2024-01-16,Cibitoke,702.1202311697011
2024-01-17,Bujumbura,605.9899694222396
2024-01-17,Gitega,560.3117178973695
2024-01-17,Ngozi,427.3890800182415
2024-01-17,Kayanza,473.9494315732169
2024-01-17,Bururi,568.6393187104048
2024-01-17,Cibitoke,478.52253846329353
2024-01-18,Bujumbura,569.8089441090837
2024-01-18,Gitega,428.5132354941607
2024-01-18,Ngozi,552.1566684144617
2024-01-18,Kayanza,515.3990662243558
2024-01-18,Bururi,497.77948629833105
2024-01-18,Cibitoke,654.9277941081381
2024-01-19,Bujumbura,535.8132716458392
2024-01-19,Gitega,480.7944646380894
2024-01-19,Ngozi,578.1673162328349
2024-01-19,Kayanza,512.9403889556392
2024-01-19,Bururi,434.1958090146441
2024-01-19,Cibitoke,347.5013281058229
2024-01-20,Bujumbura,342.7726204383254
2024-01-20,Gitega,562.8594103082944
2024-01-20,Ngozi,568.5064315118889
2024-01-20,Kayanza,589.724065324806
2024-01-20,Bururi,626.5969064577534
2024-01-20,Cibitoke,564.7403674951057
2024-01-21,Bujumbura,505.61007717382864
2024-01-21,Gitega,350.60132842336753
2024-01-21,Ngozi,411.24625443326175
2024-01-21,Kayanza,549.6675579624565
2024-01-21,Bururi,554.0677658395775
2024-01-21,Cibitoke,580.7872136140252
2024-01-22,Bujumbura,584.1508312030245
2024-01-22,Gitega,572.4070071483998
2024-01-22,Ngozi,437.3567744641526
2024-01-22,Kayanza,379.7736421481272
2024-01-22,Bururi,400.79925645328603
2024-01-22,Cibitoke,632.4534283037603
2024-01-23,Bujumbura,617.0698731319931
2024-01-23,Gitega,661.8727319673021
2024-01-23,Ngozi,512.1711225972504
2024-01-23,Kayanza,621.6538191189723
2024-01-23,Bururi,403.17035317152227
2024-01-23,Cibitoke,430.7209650220033
2024-01-24,Bujumbura,617.3656572363129
2024-01-24,Gitega,392.73801455720854
2024-01-24,Ngozi,633.7335120053771
2024-01-24,Kayanza,722.240811386877
2024-01-24,Bururi,277.04201470385044
2024-01-24,Cibitoke,712.4074403549316
2024-01-25,Bujumbura,590.3526566285152
2024-01-25,Gitega,557.5019987615883
2024-01-25,Ngozi,372.4831509149969
2024-01-25,Kayanza,519.6687073300263
2024-01-25,Bururi,428.9585642188424
2024-01-25,Cibitoke,536.4260709743414
2024-01-26,Bujumbura,565.1222605991584
2024-01-26,Gitega,460.90454271696757
2024-01-26,Ngozi,559.5254116161543
2024-01-26,Kayanza,501.3943887897693
2024-01-26,Bururi,594.6082563634219
2024-01-26,Cibitoke,438.6951263684343
2024-01-27,Bujumbura,573.8712863509776
2024-01-27,Gitega,484.2883309385458
2024-01-27,Ngozi,403.051593108504
2024-01-27,Kayanza,566.8442725038984
2024-01-27,Bururi,583.2407725711943
2024-01-27,Cibitoke,510.3496577320584
2024-01-28,Bujumbura,692.5111488239356
2024-01-28,Gitega,476.46342157917525
2024-01-28,Ngozi,446.9444732708097
2024-01-28,Kayanza,503.7220608295024
2024-01-28,Bururi,556.0019522428207
2024-01-28,Cibitoke,582.152826335197
2024-01-29,Bujumbura,530.5054926112334
2024-01-29,Gitega,583.5955448673783
2024-01-29,Ngozi,591.2527274452468
2024-01-29,Kayanza,474.4322013728704
2024-01-29,Bururi,656.806743402823
2024-01-29,Cibitoke,488.32754534446894
2024-01-30,Bujumbura,660.0554911502211
2024-01-30,Gitega,620.0403657901566
2024-01-30,Ngozi,571.5079462498044
2024-01-30,Kayanza,627.412733773994
2024-01-30,Bururi,437.5043456182447
2024-01-30,Cibitoke,498.177245485565
2024-01-31,Bujumbura,500.27816247889314
2024-01-31,Gitega,542.8824791813349
2024-01-31,Ngozi,409.0968971532573
2024-01-31,Kayanza,738.0362500006476
2024-01-31,Bururi,619.0819467637523
2024-01-31,Cibitoke,308.4591247231902
2024-02-01,Bujumbura,496.8627772581736
2024-02-01,Gitega,726.6299888275532
2024-02-01,Ngozi,558.8129360218841
2024-02-01,Kayanza,359.04877514495803
2024-02-01,Bururi,417.50109648715977
2024-02-01,Cibitoke,537.2095835672604
2024-02-02,Bujumbura,515.3982257897162
2024-02-02,Gitega,635.9584165515174
2024-02-02,Ngozi,485.295430335194
2024-02-02,Kayanza,661.5547574103879
2024-02-02,Bururi,559.4281127222196
2024-02-02,Cibitoke,599.5708579530291
2024-02-03,Bujumbura,613.7769064276313
2024-02-03,Gitega,709.5147447994616
2024-02-03,Ngozi,420.8788042784399
2024-02-03,Kayanza,437.4339391998043
2024-02-03,Bururi,505.2664093215265
2024-02-03,Cibitoke,504.9335363050918
2024-02-04,Bujumbura,553.2867174685466
2024-02-04,Gitega,597.4275519986068
2024-02-04,Ngozi,544.3959037838664
2024-02-04,Kayanza,368.639829652334
2024-02-04,Bururi,460.2423692992893
2024-02-04,Cibitoke,629.9935522715026
2024-02-05,Bujumbura,510.4255068390739
2024-02-05,Gitega,503.22197358531855
2024-02-05,Ngozi,465.57190185705167
2024-02-05,Kayanza,481.1121759706392
2024-02-05,Bururi,507.68123367263826
2024-02-05,Cibitoke,442.1994290163457
2024-02-06,Bujumbura,613.8954840671385
2024-02-06,Gitega,448.85394927034645
2024-02-06,Ngozi,601.0373914853924
2024-02-06,Kayanza,525.2380414093799
2024-02-06,Bururi,526.3862219602099
2024-02-06,Cibitoke,541.9811277295312
2024-02-07,Bujumbura,605.4677145355403
2024-02-07,Gitega,573.7504547071046
2024-02-07,Ngozi,368.92167430059885
2024-02-07,Kayanza,689.4031346964967
2024-02-07,Bururi,422.501647240706
2024-02-07,Cibitoke,550.5221985182588
2024-02-08,Bujumbura,501.7267989177996
2024-02-08,Gitega,556.6062296444218
2024-02-08,Ngozi,386.0163940379654
2024-02-08,Kayanza,389.8275284984846
2024-02-08,Bururi,644.8045419435715
2024-02-08,Cibitoke,595.7220896123911
2024-02-09,Bujumbura,312.1976026313568
2024-02-09,Gitega,561.0425931039645
2024-02-09,Ngozi,407.1129080447966
2024-02-09,Kayanza,707.596442394542
2024-02-09,Bururi,306.0156829458511
2024-02-09,Cibitoke,659.9422911432923
2024-02-10,Bujumbura,561.0240174008527
2024-02-10,Gitega,429.28426411596587
2024-02-10,Ngozi,519.570627326022
2024-02-10,Kayanza,369.519795028658
2024-02-10,Bururi,460.13820724965444
2024-02-10,Cibitoke,518.2674126743298
2024-02-11,Bujumbura,567.6516807963408
2024-02-11,Gitega,605.0137943624512
2024-02-11,Ngozi,520.4182121867802
2024-02-11,Kayanza,543.7813269059208
2024-02-11,Bururi,642.5661136701567
2024-02-11,Cibitoke,570.8462481402553
2024-02-12,Bujumbura,372.59290890274957
2024-02-12,Gitega,541.0502069555954
2024-02-12,Ngozi,446.0158244046445
2024-02-12,Kayanza,579.2212843403677
2024-02-12,Bururi,415.4256807098992
2024-02-12,Cibitoke,635.2464810003057
2024-02-13,Bujumbura,466.8458382739153
2024-02-13,Gitega,606.5514185920977
2024-02-13,Ngozi,634.4175843209562
2024-02-13,Kayanza,548.7900334041913
2024-02-13,Bururi,539.3212423102002
2024-02-13,Cibitoke,641.966972849217
2024-02-14,Bujumbura,360.46174742584196
2024-02-14,Gitega,644.2040211743454
2024-02-14,Ngozi,639.8177534291374
2024-02-14,Kayanza,607.1704849274947
2024-02-14,Bururi,518.5750052783242
2024-02-14,Cibitoke,473.2980936363741
2024-02-15,Bujumbura,484.6948774378554
2024-02-15,Gitega,609.3835737948746
2024-02-15,Ngozi,591.3402901329358
2024-02-15,Kayanza,602.1650112671456
