timestamp,province,district,commercial_keywords
2020-01-01 17:07:00,Muramvya,Muramvya_District_3,105.08034453737389
2020-01-01 09:59:00,Bujumbura,Bujumbura_District_5,96.01324277556279
2020-01-01 04:01:00,Kayanza,Kayanza_District_5,82.57690782710233
2020-01-01 01:22:00,Rutana,Rutana_District_3,50.91067075697206
2020-01-01 16:39:00,Mwaro,Mwaro_District_3,115.53220827049861
2020-01-01 20:18:00,Rumonge,Rumonge_District_5,89.38190000910059
2020-01-01 15:55:00,Kayanza,Kayanza_District_5,76.061607872684
2020-01-01 04:08:00,Kirundo,Kirundo_District_2,73.79905945457308
2020-01-01 09:25:00,Gitega,Gitega_District_3,87.62866892057512
2020-01-01 09:45:00,Rutana,Rutana_District_5,102.62842359162588
2020-01-01 14:36:00,Rutana,Rutana_District_3,78.35306636093017
2020-01-01 18:06:00,Muyinga,Muyinga_District_2,89.13379058960827
2020-01-01 07:09:00,Muyinga,Muyinga_District_2,90.30340052798662
2020-01-01 20:43:00,Bujumbura,Bujumbura_District_2,67.16860861080116
2020-01-01 05:56:00,Bujumbura_Rural,Bujumbura_Rural_District_4,70.49290427848541
2020-01-01 06:31:00,Makamba,Makamba_District_2,64.04887598561227
2020-01-01 22:06:00,Ngozi,Ngozi_District_3,78.04982894612077
2020-01-01 15:10:00,Mwaro,Mwaro_District_3,78.6123756767677
2020-01-01 20:53:00,Muramvya,Muramvya_District_3,113.63856136671744
2020-01-01 12:59:00,Ruyigi,Ruyigi_District_2,60.371729024488495
2020-01-01 00:01:00,Gitega,Gitega_District_2,131.08763745080583
2020-01-01 12:47:00,Mwaro,Mwaro_District_2,99.85410449643088
2020-01-01 01:02:00,Karusi,Karusi_District_1,113.19525785177711
2020-01-01 11:49:00,Kirundo,Kirundo_District_2,132.37089155382137
2020-01-01 05:28:00,Makamba,Makamba_District_1,65.45662635221635
2020-01-01 12:34:00,Kayanza,Kayanza_District_3,95.28601928460483
2020-01-01 06:57:00,Bubanza,Bubanza_District_3,104.66211665831617
2020-01-01 17:31:00,Bururi,Bururi_District_3,72.25700075966157
2020-01-01 12:26:00,Bururi,Bururi_District_3,87.1887676505335
2020-01-01 17:52:00,Kayanza,Kayanza_District_1,93.33948793160079
2020-01-01 01:24:00,Kayanza,Kayanza_District_5,101.29046669931715
2020-01-01 07:46:00,Kirundo,Kirundo_District_2,92.06600279037907
2020-01-01 02:06:00,Kayanza,Kayanza_District_5,78.28640953724303
2020-01-01 16:40:00,Ngozi,Ngozi_District_3,69.75560751232646
2020-01-01 04:43:00,Bururi,Bururi_District_1,100.01656255884771
2020-01-01 09:15:00,Muyinga,Muyinga_District_1,93.79885253938164
2020-01-01 10:34:00,Bururi,Bururi_District_4,71.15926708125392
2020-01-01 09:05:00,Kirundo,Kirundo_District_1,71.23124406631098
2020-01-01 18:25:00,Cibitoke,Cibitoke_District_3,88.90879447859436
2020-01-01 12:18:00,Muramvya,Muramvya_District_3,102.44973100319515
2020-01-01 06:24:00,Gitega,Gitega_District_3,102.65525303443377
2020-01-01 00:33:00,Mwaro,Mwaro_District_4,91.23207391260195
2020-01-01 06:16:00,Bururi,Bururi_District_4,68.31825496797114
2020-01-01 06:54:00,Cankuzo,Cankuzo_District_5,96.71400091425767
2020-01-01 19:15:00,Kayanza,Kayanza_District_4,59.49562294590657
2020-01-01 05:14:00,Cibitoke,Cibitoke_District_4,82.44670984823061
2020-01-01 18:32:00,Rumonge,Rumonge_District_5,119.545755078394
2020-01-01 15:28:00,Bujumbura,Bujumbura_District_3,77.02586603811717
2020-01-01 21:43:00,Bujumbura_Rural,Bujumbura_Rural_District_2,104.29813653551861
2020-01-01 11:23:00,Kayanza,Kayanza_District_3,99.61813350235525
2020-01-01 22:32:00,Cankuzo,Cankuzo_District_1,100.56387637250009
2020-01-01 01:17:00,Cibitoke,Cibitoke_District_4,81.58692677493457
2020-01-01 06:15:00,Kayanza,Kayanza_District_4,54.099558425961135
2020-01-01 22:13:00,Rumonge,Rumonge_District_5,63.65765745676724
2020-01-01 04:55:00,Bururi,Bururi_District_3,98.68462252496948
2020-01-01 17:10:00,Cankuzo,Cankuzo_District_1,80.83264101551507
2020-01-01 07:30:00,Bururi,Bururi_District_2,114.61671773189406
2020-01-01 00:05:00,Cankuzo,Cankuzo_District_3,60.15503909213867
2020-01-01 23:37:00,Bujumbura_Rural,Bujumbura_Rural_District_1,75.54578953240646
2020-01-01 03:09:00,Makamba,Makamba_District_3,74.86986044719097
2020-01-01 22:49:00,Kayanza,Kayanza_District_1,101.80920776538306
2020-01-01 14:20:00,Ngozi,Ngozi_District_1,89.25240701785341
2020-01-01 19:09:00,Kirundo,Kirundo_District_2,57.06929354340801
2020-01-01 17:53:00,Kayanza,Kayanza_District_5,68.37221699210716
2020-01-01 21:50:00,Bujumbura,Bujumbura_District_5,119.14514056748368
2020-01-01 17:45:00,Bujumbura,Bujumbura_District_3,106.50432371188971
2020-01-01 07:48:00,Cankuzo,Cankuzo_District_2,75.75366840471234
2020-01-01 17:39:00,Cibitoke,Cibitoke_District_4,71.22892351224975
2020-01-01 09:16:00,Rumonge,Rumonge_District_4,92.29445900989992
2020-01-01 07:20:00,Kayanza,Kayanza_District_3,86.61847756127817
2020-01-01 15:29:00,Gitega,Gitega_District_3,94.60475881866593
2020-01-01 04:45:00,Muramvya,Muramvya_District_1,126.32244583938403
2020-01-01 06:06:00,Makamba,Makamba_District_3,77.5830173852452
2020-01-01 14:56:00,Cibitoke,Cibitoke_District_3,78.33673151698784
2020-01-01 00:40:00,Bubanza,Bubanza_District_1,93.61190027867339
2020-01-01 08:24:00,Bururi,Bururi_District_4,98.3048345372383
2020-01-01 00:40:00,Bururi,Bururi_District_3,72.07104900512937
2020-01-01 19:01:00,Rumonge,Rumonge_District_1,86.08044339121055
2020-01-01 15:23:00,Kirundo,Kirundo_District_3,108.63549648156797
2020-01-01 04:50:00,Mwaro,Mwaro_District_3,71.3012154127959
2020-01-01 03:25:00,Rutana,Rutana_District_4,94.67228945507703
2020-01-01 18:25:00,Ngozi,Ngozi_District_1,121.87994429805772
2020-01-01 18:30:00,Ruyigi,Ruyigi_District_2,41.58650667748409
2020-01-01 22:20:00,Bururi,Bururi_District_4,83.6121472752324
2020-01-01 12:15:00,Rutana,Rutana_District_3,85.5731008189998
2020-01-01 03:53:00,Ngozi,Ngozi_District_2,82.22393023784227
2020-01-01 00:31:00,Makamba,Makamba_District_1,76.74637878055331
2020-01-01 23:51:00,Ngozi,Ngozi_District_4,89.02134430990372
2020-01-01 23:04:00,Ruyigi,Ruyigi_District_3,54.48077291974033
2020-01-01 02:34:00,Bubanza,Bubanza_District_2,110.84582348854377
2020-01-01 15:29:00,Kayanza,Kayanza_District_1,85.05594184623072
2020-01-01 12:16:00,Mwaro,Mwaro_District_4,78.76026532448705
2020-01-01 10:22:00,Kirundo,Kirundo_District_1,103.69390106008638
2020-01-01 10:40:00,Rutana,Rutana_District_2,66.77948432422531
2020-01-01 19:59:00,Muramvya,Muramvya_District_2,112.72971121151123
2020-01-01 17:48:00,Kirundo,Kirundo_District_1,62.84459430245252
2020-01-01 19:27:00,Karusi,Karusi_District_3,76.68270767105926
2020-01-01 02:09:00,Bubanza,Bubanza_District_1,78.45017669996403
2020-01-01 02:42:00,Bujumbura,Bujumbura_District_4,84.67004985228537
2020-01-01 02:53:00,Kirundo,Kirundo_District_3,97.10165293908479
2020-01-01 06:58:00,Bujumbura_Rural,Bujumbura_Rural_District_1,105.18008071085036
2020-01-01 05:10:00,Mwaro,Mwaro_District_4,76.60323857221677
2020-01-01 13:11:00,Bujumbura,Bujumbura_District_1,86.33917514319954
2020-01-01 03:20:00,Gitega,Gitega_District_1,68.98769965456557
2020-01-01 21:46:00,Cankuzo,Cankuzo_District_4,78.26688731552905
2020-01-01 12:52:00,Bubanza,Bubanza_District_1,123.88339189483105
2020-01-01 15:00:00,Muramvya,Muramvya_District_2,71.52714696068865
2020-01-01 18:28:00,Muramvya,Muramvya_District_3,81.74007769106247
