timestamp,province,district,transaction_volume,transaction_count
2020-01-01 17:07:00,Muramvya,Muramvya_District_3,1386.2721485266575,80
2020-01-01 09:59:00,Bujumbura,Bujumbura_District_5,1234.6537467736475,77
2020-01-01 04:01:00,Kayanza,Kayanza_District_5,873.0179144647641,61
2020-01-01 01:22:00,Rutana,Rutana_District_3,430.50469325453025,51
2020-01-01 16:39:00,Mwaro,Mwaro_District_3,1217.8464425918728,76
2020-01-01 20:18:00,Rumonge,Rumonge_District_5,1003.1284115613678,59
2020-01-01 15:55:00,Kayanza,Kayanza_District_5,936.4263061035253,65
2020-01-01 04:08:00,Kirundo,Kirundo_District_2,679.9582362664721,49
2020-01-01 09:25:00,Gitega,Gitega_District_3,1092.7056487272548,74
2020-01-01 09:45:00,Rutana,Rutana_District_5,1081.1912923535037,77
2020-01-01 14:36:00,Rutana,Rutana_District_3,952.4423741647751,59
2020-01-01 18:06:00,Muyinga,Muyinga_District_2,805.0417246339542,63
2020-01-01 07:09:00,Muyinga,Muyinga_District_2,1138.8245552278036,75
2020-01-01 20:43:00,Bujumbura,Bujumbura_District_2,849.1253346567973,65
2020-01-01 05:56:00,Bujumbura_Rural,Bujumbura_Rural_District_4,746.8192816890637,50
2020-01-01 06:31:00,Makamba,Makamba_District_2,527.8273359241578,53
2020-01-01 22:06:00,Ngozi,Ngozi_District_3,1042.399364648807,55
2020-01-01 15:10:00,Mwaro,Mwaro_District_3,655.1847352424782,56
2020-01-01 20:53:00,Muramvya,Muramvya_District_3,1272.9211309769246,79
2020-01-01 12:59:00,Ruyigi,Ruyigi_District_2,515.7642941571942,54
2020-01-01 00:01:00,Gitega,Gitega_District_2,1783.2229348748679,101
2020-01-01 12:47:00,Mwaro,Mwaro_District_2,1104.3699161080474,77
2020-01-01 01:02:00,Karusi,Karusi_District_1,1468.5977171224301,84
2020-01-01 11:49:00,Kirundo,Kirundo_District_2,1476.5640497544352,98
2020-01-01 05:28:00,Makamba,Makamba_District_1,863.1602346925845,58
2020-01-01 12:34:00,Kayanza,Kayanza_District_3,1090.7727524881548,76
2020-01-01 06:57:00,Bubanza,Bubanza_District_3,1219.9014254274261,85
2020-01-01 17:31:00,Bururi,Bururi_District_3,665.4825166869712,63
2020-01-01 12:26:00,Bururi,Bururi_District_3,1280.4076419481594,77
2020-01-01 17:52:00,Kayanza,Kayanza_District_1,887.5687740886183,71
2020-01-01 01:24:00,Kayanza,Kayanza_District_5,1171.40773943493,75
2020-01-01 07:46:00,Kirundo,Kirundo_District_2,927.8651682718189,70
2020-01-01 02:06:00,Kayanza,Kayanza_District_5,928.0035194339396,62
2020-01-01 16:40:00,Ngozi,Ngozi_District_3,469.28393804221895,53
2020-01-01 04:43:00,Bururi,Bururi_District_1,1227.2876444409953,79
2020-01-01 09:15:00,Muyinga,Muyinga_District_1,1138.8315825701545,71
2020-01-01 10:34:00,Bururi,Bururi_District_4,801.1394647992955,55
2020-01-01 09:05:00,Kirundo,Kirundo_District_1,662.6726457917912,60
2020-01-01 18:25:00,Cibitoke,Cibitoke_District_3,963.5556720069518,71
2020-01-01 12:18:00,Muramvya,Muramvya_District_3,819.7948527209674,71
2020-01-01 06:24:00,Gitega,Gitega_District_3,1159.2731077404069,78
2020-01-01 00:33:00,Mwaro,Mwaro_District_4,1152.6948684580907,79
2020-01-01 06:16:00,Bururi,Bururi_District_4,569.3162283576955,59
2020-01-01 06:54:00,Cankuzo,Cankuzo_District_5,1297.5826091065373,82
2020-01-01 19:15:00,Kayanza,Kayanza_District_4,464.6092142348971,45
2020-01-01 05:14:00,Cibitoke,Cibitoke_District_4,812.7048407924908,61
2020-01-01 18:32:00,Rumonge,Rumonge_District_5,1377.0098962359975,93
2020-01-01 15:28:00,Bujumbura,Bujumbura_District_3,645.0068483025067,60
2020-01-01 21:43:00,Bujumbura_Rural,Bujumbura_Rural_District_2,1179.98241392707,77
2020-01-01 11:23:00,Kayanza,Kayanza_District_3,1138.9096228769672,70
2020-01-01 22:32:00,Cankuzo,Cankuzo_District_1,1166.645256401577,78
2020-01-01 01:17:00,Cibitoke,Cibitoke_District_4,861.46793787098,61
2020-01-01 06:15:00,Kayanza,Kayanza_District_4,704.8964301557461,54
2020-01-01 22:13:00,Rumonge,Rumonge_District_5,781.9347877385361,48
2020-01-01 04:55:00,Bururi,Bururi_District_3,1007.4204017140011,76
