timestamp,province,data_usage_gb
2024-01-01,Bujumbura,251.51763855237525
2024-01-01,Gitega,197.46081829422283
2024-01-01,Ngozi,178.4680797774773
2024-01-01,Kayanza,310.1630450758667
2024-01-01,Bururi,275.1215908002128
2024-01-01,Cibitoke,214.35819080622312
2024-01-02,Bujumbura,225.42448777585366
2024-01-02,Gitega,308.8487022215783
2024-01-02,Ngozi,149.2560001267711
2024-01-02,Kayanza,225.08125723932162
2024-01-02,Bururi,174.15484073394484
2024-01-02,Cibitoke,253.88617303322772
2024-01-03,Bujumbura,229.70839910136263
2024-01-03,Gitega,233.112571238612
2024-01-03,Ngozi,298.1744576898691
2024-01-03,Kayanza,114.77009837541104
2024-01-03,Bururi,157.97423686222217
2024-01-03,Cibitoke,258.69349010504277
2024-01-04,Bujumbura,159.5237522701838
2024-01-04,Gitega,251.14336659677562
2024-01-04,Ngozi,196.23035685470643
2024-01-04,Kayanza,96.4863779036805
2024-01-04,Bururi,234.48543469229364
2024-01-04,Cibitoke,301.07956904924964
2024-01-05,Bujumbura,163.56973173100627
2024-01-05,Gitega,217.60500493731425
2024-01-05,Ngozi,157.49179835394628
2024-01-05,Kayanza,225.06963543016707
2024-01-05,Bururi,197.37142924233132
2024-01-05,Cibitoke,246.89025370132723
2024-01-06,Bujumbura,133.13474872641876
2024-01-06,Gitega,198.37651912914777
2024-01-06,Ngozi,246.57622004923036
2024-01-06,Kayanza,263.80742294410567
2024-01-06,Bururi,258.21226496942614
2024-01-06,Cibitoke,236.818973266579
2024-01-07,Bujumbura,252.2756851930429
2024-01-07,Gitega,222.54888059721094
2024-01-07,Ngozi,270.20285446188814
2024-01-07,Kayanza,217.90629368159966
2024-01-07,Bururi,232.30192421864055
2024-01-07,Cibitoke,134.12874461999579
2024-01-08,Bujumbura,217.07707290352576
2024-01-08,Gitega,189.99857258816814
2024-01-08,Ngozi,312.1563420180382
2024-01-08,Kayanza,189.4435817551252
2024-01-08,Bururi,329.77855915113025
2024-01-08,Cibitoke,199.91377442721097
2024-01-09,Bujumbura,189.1313455440211
2024-01-09,Gitega,319.19315854140876
2024-01-09,Ngozi,264.04379317499786
2024-01-09,Kayanza,273.92238690269795
2024-01-09,Bururi,216.43502207120795
2024-01-09,Cibitoke,219.35442436901346
2024-01-10,Bujumbura,322.4521193996656
2024-01-10,Gitega,255.73404056705272
2024-01-10,Ngozi,162.47830568484017
2024-01-10,Kayanza,229.59255273773812
2024-01-10,Bururi,254.0923516195811
2024-01-10,Cibitoke,197.98080111444352
2024-01-11,Bujumbura,197.79334100774219
2024-01-11,Gitega,225.91156894312076
2024-01-11,Ngozi,234.56164019210377
2024-01-11,Kayanza,115.49659881403949
2024-01-11,Bururi,267.99457456327747
2024-01-11,Cibitoke,219.878423619758
2024-01-12,Bujumbura,131.76849455201219
2024-01-12,Gitega,189.28311065821896
2024-01-12,Ngozi,160.74110559911475
2024-01-12,Kayanza,237.6166528231565
2024-01-12,Bururi,217.36482676857747
2024-01-12,Cibitoke,197.65804463783957
2024-01-13,Bujumbura,194.41494549382168
2024-01-13,Gitega,228.46332061180797
2024-01-13,Ngozi,196.4755227361618
2024-01-13,Kayanza,277.2540366674932
2024-01-13,Bururi,223.65055901298564
2024-01-13,Cibitoke,229.51581429447359
