timestamp,province,district,data_usage_gb
2020-01-01 17:07:00,Muramvya,Muramvya_District_3,250.12934998049673
2020-01-01 09:59:00,Bujumbura,Bujumbura_District_5,240.27764091574454
2020-01-01 04:01:00,Kayanza,Kayanza_District_5,174.2157458119307
2020-01-01 01:22:00,Rutana,Rutana_District_3,90.32439459826298
2020-01-01 16:39:00,Mwaro,Mwaro_District_3,235.1435979051717
2020-01-01 20:18:00,Rumonge,Rumonge_District_5,219.64927143418083
2020-01-01 15:55:00,Kayanza,Kayanza_District_5,169.71828290266677
2020-01-01 04:08:00,Kirundo,Kirundo_District_2,127.43082097129631
2020-01-01 09:25:00,Gitega,Gitega_District_3,209.6500347879248
2020-01-01 09:45:00,Rutana,Rutana_District_5,233.41696598660974
2020-01-01 14:36:00,Rutana,Rutana_District_3,173.58417030397575
2020-01-01 18:06:00,Muyinga,Muyinga_District_2,179.7864352004587
2020-01-01 07:09:00,Muyinga,Muyinga_District_2,221.57089982821935
2020-01-01 20:43:00,Bujumbura,Bujumbura_District_2,152.56350071186299
2020-01-01 05:56:00,Bujumbura_Rural,Bujumbura_Rural_District_4,179.9444712533116
2020-01-01 06:31:00,Makamba,Makamba_District_2,171.48503243369927
2020-01-01 22:06:00,Ngozi,Ngozi_District_3,160.7797071739182
2020-01-01 15:10:00,Mwaro,Mwaro_District_3,180.0383096326868
2020-01-01 20:53:00,Muramvya,Muramvya_District_3,259.44835334065175
2020-01-01 12:59:00,Ruyigi,Ruyigi_District_2,119.35090609348187
2020-01-01 00:01:00,Gitega,Gitega_District_2,304.9462115960861
2020-01-01 12:47:00,Mwaro,Mwaro_District_2,233.79835162674578
2020-01-01 01:02:00,Karusi,Karusi_District_1,222.67548018790103
2020-01-01 11:49:00,Kirundo,Kirundo_District_2,308.1601406422653
2020-01-01 05:28:00,Makamba,Makamba_District_1,151.87198831961396
2020-01-01 12:34:00,Kayanza,Kayanza_District_3,198.12177786456294
2020-01-01 06:57:00,Bubanza,Bubanza_District_3,256.26413118289133
2020-01-01 17:31:00,Bururi,Bururi_District_3,148.26051203471872
2020-01-01 12:26:00,Bururi,Bururi_District_3,174.5748537196304
2020-01-01 17:52:00,Kayanza,Kayanza_District_1,214.45062861980833
2020-01-01 01:24:00,Kayanza,Kayanza_District_5,240.75913384895355
2020-01-01 07:46:00,Kirundo,Kirundo_District_2,199.7513130854299
2020-01-01 02:06:00,Kayanza,Kayanza_District_5,189.74642768798046
2020-01-01 16:40:00,Ngozi,Ngozi_District_3,158.016903344892
2020-01-01 04:43:00,Bururi,Bururi_District_1,224.13917696371016
2020-01-01 09:15:00,Muyinga,Muyinga_District_1,186.0976616675738
2020-01-01 10:34:00,Bururi,Bururi_District_4,191.35607562249552
2020-01-01 09:05:00,Kirundo,Kirundo_District_1,133.6815271257738
2020-01-01 18:25:00,Cibitoke,Cibitoke_District_3,179.9607113903178
2020-01-01 12:18:00,Muramvya,Muramvya_District_3,246.86726765466477
2020-01-01 06:24:00,Gitega,Gitega_District_3,216.86349847520665
2020-01-01 00:33:00,Mwaro,Mwaro_District_4,186.47665924303377
2020-01-01 06:16:00,Bururi,Bururi_District_4,143.9774792903701
2020-01-01 06:54:00,Cankuzo,Cankuzo_District_5,210.96991783750715
2020-01-01 19:15:00,Kayanza,Kayanza_District_4,134.65933129126532
2020-01-01 05:14:00,Cibitoke,Cibitoke_District_4,160.6667555334634
2020-01-01 18:32:00,Rumonge,Rumonge_District_5,255.38695429249364
2020-01-01 15:28:00,Bujumbura,Bujumbura_District_3,150.08612319388277
2020-01-01 21:43:00,Bujumbura_Rural,Bujumbura_Rural_District_2,201.30027781597977
2020-01-01 11:23:00,Kayanza,Kayanza_District_3,242.60208530772803
2020-01-01 22:32:00,Cankuzo,Cankuzo_District_1,234.07323412956984
2020-01-01 01:17:00,Cibitoke,Cibitoke_District_4,137.02360967242382
2020-01-01 06:15:00,Kayanza,Kayanza_District_4,121.85943255030962
2020-01-01 22:13:00,Rumonge,Rumonge_District_5,121.37997790736004
2020-01-01 04:55:00,Bururi,Bururi_District_3,221.9306252955364
2020-01-01 17:10:00,Cankuzo,Cankuzo_District_1,205.9718655339872
2020-01-01 07:30:00,Bururi,Bururi_District_2,269.474044807059
2020-01-01 00:05:00,Cankuzo,Cankuzo_District_3,139.23251845010049
2020-01-01 23:37:00,Bujumbura_Rural,Bujumbura_Rural_District_1,186.06157101526392
2020-01-01 03:09:00,Makamba,Makamba_District_3,157.30558450241247
2020-01-01 22:49:00,Kayanza,Kayanza_District_1,230.55134660785663
2020-01-01 14:20:00,Ngozi,Ngozi_District_1,237.1846209143289
2020-01-01 19:09:00,Kirundo,Kirundo_District_2,122.32830548750859
2020-01-01 17:53:00,Kayanza,Kayanza_District_5,135.40268626761372
2020-01-01 21:50:00,Bujumbura,Bujumbura_District_5,303.1106273975005
2020-01-01 17:45:00,Bujumbura,Bujumbura_District_3,262.3553884822618
2020-01-01 07:48:00,Cankuzo,Cankuzo_District_2,194.97634806063965
2020-01-01 17:39:00,Cibitoke,Cibitoke_District_4,122.06750854498031
